title,tom,aud,tom_ave_rating,tom_num_reviews,tom_fresh,tom_rotten,aud_ave_rating,aud_num_ratings,age_rating,genre,director,writers,rel_date,box,runtime,studio,link
Stronger,92,81,7.3,172,158,14,3.9,12636,R,['Drama'],David Gordon Green,['John Pollono'],"Sep 22, 2017",4192426.0,119.0,Lionsgate and Roadside Attractions,https://www.rottentomatoes.com/m/stronger_2017
Woman Walks Ahead,53,58,6.0,34,18,16,3.5,238,R,['Drama'],Susanna White,['Steven Knight'],"Jun 29, 2018",,102.0,A24 and DIRECTV,https://www.rottentomatoes.com/m/woman_walks_ahead
My Friend Dahmer,85,63,7.0,88,75,13,3.5,5169,R,['Drama'],Marc Meyers,['Marc Meyers'],"Nov 3, 2017",1306946.0,107.0,FilmRise,https://www.rottentomatoes.com/m/my_friend_dahmer_2017
Battle of the Sexes,85,72,7.3,262,224,38,3.6,15470,PG-13,"['Comedy', 'Drama', 'Sports & Fitness']","Jonathan Dayton, Valerie Faris",['Simon Beaufoy'],"Sep 29, 2017",12552907.0,121.0,Fox Searchlight Pictures,https://www.rottentomatoes.com/m/battle_of_the_sexes
War for the Planet of the Apes,93,84,8.1,309,288,21,4.0,56007,PG-13,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",Matt Reeves,"['Mark Bomback, Matt Reeves']","Jul 14, 2017",146872826.0,140.0,20th Century Fox,https://www.rottentomatoes.com/m/war_for_the_planet_of_the_apes
What Happened to Monday,59,66,5.7,32,19,13,3.6,2662,NR,"['Action & Adventure', 'Drama', 'Mystery & Suspense', 'Science Fiction & Fantasy']",Tommy Wirkola,"['Max Botkin, Kerry Williamson']","Aug 18, 2017",,123.0,Netflix,https://www.rottentomatoes.com/m/what_happened_to_monday_2017
Thoroughbreds,87,69,7.2,136,118,18,3.6,2753,R,"['Drama', 'Mystery & Suspense']",Cory Finley,['Cory Finley'],"Mar 9, 2018",,90.0,Focus Features,https://www.rottentomatoes.com/m/thoroughbreds_2017
Saban's Power Rangers,46,66,5.1,149,68,81,3.7,43551,PG-13,"['Action & Adventure', 'Drama', 'Science Fiction & Fantasy']",Dean Israelite,"['John Gatins, Matt Sazama, Burk Sharpless, Michele Mulroney, Kieran Mulroney']","Mar 24, 2017",85275488.0,124.0,Lionsgate Films,https://www.rottentomatoes.com/m/power_rangers_2017
Gifted,73,85,6.4,165,120,45,4.0,21397,PG-13,['Drama'],Marc Webb,,"Apr 7, 2017",24799765.0,101.0,,https://www.rottentomatoes.com/m/gifted_2017
The Dark Tower,16,46,4.1,233,37,196,3.1,41400,PG-13,"['Horror', 'Science Fiction & Fantasy', 'Western']",Nikolaj Arcel,"['Nikolaj Arcel, Akiva Goldsman, Anders Thomas Jensen, Jeff Pinkner']","Aug 4, 2017",50644837.0,,Sony Pictures,https://www.rottentomatoes.com/m/the_dark_tower_2017
Killing Gunther,55,28,5.1,20,11,9,2.5,983,R,"['Action & Adventure', 'Comedy']",,,"Oct 20, 2017",,92.0,,https://www.rottentomatoes.com/m/killing_gunther_2017
The Babysitter,72,60,5.5,18,13,5,3.4,1711,NR,['Horror'],McG,['Brian Duffield'],"Oct 13, 2017",,,Netflix,https://www.rottentomatoes.com/m/the_babysitter_2017
The Circle,16,21,4.2,122,19,103,2.3,17848,PG-13,"['Drama', 'Mystery & Suspense']",James Ponsoldt,"['James Ponsoldt, Dave Eggers']","Apr 28, 2017",20476300.0,,EuropaCorp / STXfilms,https://www.rottentomatoes.com/m/the_circle_2017
xXx: Return of Xander Cage,46,38,4.9,123,56,67,2.9,25052,PG-13,"['Action & Adventure', 'Drama']",D.J. Caruso,,"Jan 20, 2017",44850317.0,110.0,Paramount Pictures,https://www.rottentomatoes.com/m/xxx_return_of_xander_cage
Cold Skin,55,60,6.2,20,11,9,3.5,166,NR,"['Mystery & Suspense', 'Science Fiction & Fantasy']",Xavier Gens,['Jesús Olmo'],"Sep 7, 2018",,,Samuel Goldwyn Films,https://www.rottentomatoes.com/m/cold_skin_2017
Goodbye Christopher Robin,63,72,6.2,164,104,60,3.8,6896,PG,['Drama'],,"['Simon Vaughan, Frank Cottrell Boyce']","Oct 13, 2017",1659463.0,,Fox Searchlight Pictures,https://www.rottentomatoes.com/m/goodbye_christopher_robin
Devil's Gate,36,30,5.5,11,4,7,2.8,107,NR,"['Drama', 'Mystery & Suspense']",Clay Staub,"['Peter Aperlo, Clay Staub']","Jan 5, 2018",,94.0,IFC Films,https://www.rottentomatoes.com/m/devils_gate_2017
